Quote on 3/20/21 11:49:21

Fang
Symbol,Description,Quote Trend,Last,Net Chng,Bid,BS,Ask,AS,Volume,Open,High,Low,52High,52Low
A,AGILENT TECHNOLOGIES INC COM,"instrument=A
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 19:00:00 EST 1969
",122.69,+.10,120.20,1,123.80,1,"2,596,984",122.87,123.50,121.51,136.98,62.09
ACAD,ACADIA PHARMACEUTICALS INC COM,"instrument=ACAD
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 19:00:00 EST 1969
",27.75,+.70,27.60,2,27.89,11,"2,882,645",27.31,27.98,26.65,58.72,23.35
AMAT,APPLIED MATERIALS INC COM,"instrument=AMAT
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 19:00:00 EST 1969
",114.86,+.58,114.80,30,115.20,2,"13,044,677",114.51,117.06,112.14,124.50,37.92
AMD,ADVANCED MICRO DEVICES INC COM,"instrument=AMD
trend=[GREEN, BRIGHT_RED, GREEN, RED, RED, RED, GREEN, GREEN, RED, GREEN]
headPointer=7
separatorPointer=-1
currentSessionEndTime=Mon Mar 22 16:00:00 EDT 2021
",79.06,+.94,78.82,1,78.90,10,"42,283,391",78.49,79.34,77.59,99.23,38.95
ATVI,ACTIVISION BLIZZARD INC COM,"instrument=ATVI
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 19:00:00 EST 1969
",90.49,+.91,90.32,2,90.99,1,"13,501,013",89.69,91.54,89.69,104.53,52.33
BA,BOEING CO COM,"instrument=BA
trend=[GREEN, RED, GREEN, GREEN, RED, GREEN, GREEN, RED, RED, RED]
headPointer=2
separatorPointer=-1
currentSessionEndTime=Mon Mar 22 16:00:00 EDT 2021
",255.82,-.24,256.00,1,256.20,1,"17,330,779",257.75,258.88,251.31,278.5671,93.56
BABA,ALIBABA GROUP HOLDING LTD ADR SPONSORED,"instrument=BABA
trend=[GREEN, RED, RED, RED, GREEN, GREEN, RED, RED, GREEN, RED]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Mon Mar 22 16:00:00 EDT 2021
",239.79,+3.36,240.00,3,240.15,2,"15,959,658",239.66,241.60,236.8838,319.32,169.95
BIDU,BAIDU INC ADR,"instrument=BIDU
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 19:00:00 EST 1969
",257.47,-7.38,259.50,1,259.90,1,"9,759,329",263.00,264.259,255.03,354.82,86.23
BOX,BOX INC COM CL A,"instrument=BOX
trend=[null, GREEN, null, null, null, null, null, null, null, null]
headPointer=1
separatorPointer=1
currentSessionEndTime=Mon Mar 22 16:00:00 EDT 2021
",22.57,+1.47,22.04,10,22.50,2,"5,859,048",21.23,22.955,21.20,23.12,11.03
BYND,BEYOND MEAT INC COM,"instrument=BYND
trend=[RED, GREEN, RED, RED, RED, RED, RED, GREEN, RED, GREEN]
headPointer=1
separatorPointer=-1
currentSessionEndTime=Mon Mar 22 16:00:00 EDT 2021
",139.39,+5.67,139.00,1,139.37,2,"3,253,083",135.59,140.39,134.8201,221.00,55.11
CL,COLGATE-PALMOLIVE CO COM,"instrument=CL
trend=[null, GREEN, RED, GREEN, GREEN, RED, RED, GREEN, RED, null]
headPointer=8
separatorPointer=8
currentSessionEndTime=Mon Mar 22 16:00:00 EDT 2021
",74.98,-1.09,74.29,1,75.86,1,"11,878,764",76.10,76.50,74.85,86.41,58.49
CMG,CHIPOTLE MEXICAN GRILL COM,"instrument=CMG
trend=[null, RED, null, null, null, null, null, null, null, null]
headPointer=1
separatorPointer=1
currentSessionEndTime=Mon Mar 22 16:00:00 EDT 2021
",1421.20,-8.16,1419.11,1,1421.20,2,"360,902",1437.96,1443.37,1419.64,1564.91,551.2101
COUP,COUPA SOFTWARE INCORPORATED COM,"instrument=COUP
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 19:00:00 EST 1969
",248.73,-.72,247.60,1,250.00,1,"1,699,570",250.97,254.30,246.18,377.0423,120.00
CRM,SALESFORCE.COM INC COM,"instrument=CRM
trend=[null, BRIGHT_GREEN, GREEN, RED, RED, null, null, null, null, null]
headPointer=4
separatorPointer=4
currentSessionEndTime=Mon Mar 22 16:00:00 EDT 2021
",212.20,+2.72,211.78,3,212.28,4,"7,088,442",209.81,212.75,209.07,284.50,130.0362
CSCO,CISCO SYSTEMS INC COM,"instrument=CSCO
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 19:00:00 EST 1969
",48.98,+.18,48.75,14,48.90,3,"65,366,839",48.71,49.22,48.32,49.74,33.74
DECK,DECKERS OUTDOOR CORP COM,"instrument=DECK
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 19:00:00 EST 1969
",338.70,+7.74,335.00,1,450.41,<empty>,"575,789",334.26,342.42,327.52,345.00,99.99
DIS,WALT DISNEY COMPANY (THE) COM,"instrument=DIS
trend=[GREEN, RED, RED, GREEN, RED, RED, RED, RED, RED, GREEN]
headPointer=1
separatorPointer=-1
currentSessionEndTime=Mon Mar 22 16:00:00 EDT 2021
",191.14,-1.14,191.15,19,191.37,3,"28,354,576",190.92,194.00,189.76,203.02,81.09
DLTR,DOLLAR TREE INC COM,"instrument=DLTR
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 19:00:00 EST 1969
",108.12,+2.87,106.50,1,108.29,1,"2,694,885",104.71,108.63,104.565,115.45,68.43
EBAY,EBAY INC COM,"instrument=EBAY
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 19:00:00 EST 1969
",59.73,+.83,59.70,34,59.99,5,"10,317,941",59.16,60.03,58.51,64.85,26.02
